state,district,cluster_label,total_bio,ratio_5_17,ratio_17_plus,key_insight,recommendation,lat,lng,predicted_load,alert_status,recommendation_engine
Andaman & Nicobar Islands,Andamans,Low Load,272,0.1029411764705882,0.8970588235294118,"Adult population dominates biometric authentication, indicating strong dependency on DBT and banking services.",Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,21.70437351552095,79.31324272138413,305,Normal,Stable
Andaman & Nicobar Islands,Nicobars,Low Load,1,1.0,0.0,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,21.55437259528672,79.33244124805614,1,Normal,Stable
Andaman & Nicobar Islands,South Andaman,Low Load,7,0.0,1.0,"Adult population dominates biometric authentication, indicating strong dependency on DBT and banking services.",Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,21.62151825409451,79.31817248609819,8,Normal,Stable
Andaman And Nicobar Islands,Nicobar,Low Load,279,0.6379928315412187,0.3620071684587813,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,21.66808720801163,78.58308276380946,326,Normal,Stable
Andaman And Nicobar Islands,North And Middle Andaman,Low Load,819,0.5738705738705738,0.4261294261294261,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,21.786067818453795,78.91170975963018,885,Normal,Stable
Andaman And Nicobar Islands,South Andaman,Low Load,1399,0.677626876340243,0.3223731236597569,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,21.87929959854537,78.98809076422747,1512,Normal,Stable
Andhra Pradesh,Adilabad,Medium Load,5672,0.1789492242595204,0.8210507757404796,"Adult population dominates biometric authentication, indicating strong dependency on DBT and banking services.",Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,21.83660861050578,78.72286558007683,6021,Normal,Stable
Andhra Pradesh,Alluri Sitharama Raju,Low Load,2140,0.305607476635514,0.694392523364486,Balanced biometric usage across age groups.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,21.752506346665744,79.11300145831144,2617,Normal,Stable
Andhra Pradesh,Anakapalli,Low Load,954,0.5524109014675053,0.4475890985324947,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,21.917554831478707,79.37710442258434,1116,Normal,Stable
Andhra Pradesh,Anantapur,High Load,10002,0.3416316736652669,0.6583683263347331,Balanced biometric usage across age groups.,"High biometric authentication pressure detected. Recommended actions: increase Aadhaar authentication infrastructure, deploy additional servers, and optimize load distribution.",22.28880960380303,78.95360122232202,11918,Normal,Stable
Andhra Pradesh,Ananthapur,High Load,13938,0.8410101879753192,0.1589898120246807,High biometric usage among children suggests dependency on education and child welfare schemes.,"High biometric authentication pressure detected. Recommended actions: increase Aadhaar authentication infrastructure, deploy additional servers, and optimize load distribution.",22.193021291579104,79.39281439666796,14692,Normal,Stable
Andhra Pradesh,Ananthapuramu,High Load,16153,0.8707979941806475,0.1292020058193524,High biometric usage among children suggests dependency on education and child welfare schemes.,"High biometric authentication pressure detected. Recommended actions: increase Aadhaar authentication infrastructure, deploy additional servers, and optimize load distribution.",21.62309139435675,79.47869333471128,20094,High Risk,Deploy 20 kits.
Andhra Pradesh,Annamayya,Medium Load,1154,0.5441941074523396,0.4558058925476603,High biometric usage among children suggests dependency on education and child welfare schemes.,Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,22.227276380120234,78.7918591671525,1403,Normal,Stable
Andhra Pradesh,Bapatla,Medium Load,894,0.540268456375839,0.4597315436241611,High biometric usage among children suggests dependency on education and child welfare schemes.,Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,21.52791793445523,79.45241222783476,976,Normal,Stable
Andhra Pradesh,Chittoor,High Load,28193,0.6659454474514951,0.3340545525485049,High biometric usage among children suggests dependency on education and child welfare schemes.,"High biometric authentication pressure detected. Recommended actions: increase Aadhaar authentication infrastructure, deploy additional servers, and optimize load distribution.",21.92633335496935,78.85927016424488,30627,High Risk,Deploy 30 kits.
Andhra Pradesh,Cuddapah,High Load,16826,0.689587543088078,0.310412456911922,High biometric usage among children suggests dependency on education and child welfare schemes.,"High biometric authentication pressure detected. Recommended actions: increase Aadhaar authentication infrastructure, deploy additional servers, and optimize load distribution.",21.824899930776848,78.86561471255982,18284,High Risk,Deploy 18 kits.
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,Medium Load,1076,0.5148698884758365,0.4851301115241636,High biometric usage among children suggests dependency on education and child welfare schemes.,Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,22.426338237068695,78.74473435916046,1195,Normal,Stable
Andhra Pradesh,East Godavari,High Load,30115,0.6131495932259671,0.3868504067740329,High biometric usage among children suggests dependency on education and child welfare schemes.,"High biometric authentication pressure detected. Recommended actions: increase Aadhaar authentication infrastructure, deploy additional servers, and optimize load distribution.",21.905665861234134,78.89306800849712,34781,High Risk,Deploy 34 kits.
Andhra Pradesh,Eluru,Medium Load,1392,0.4489942528735632,0.5510057471264368,High biometric usage among children suggests dependency on education and child welfare schemes.,Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,21.95697156628214,78.76917612582085,1581,Normal,Stable
Andhra Pradesh,Guntur,High Load,31262,0.6287825475017593,0.3712174524982407,High biometric usage among children suggests dependency on education and child welfare schemes.,"High biometric authentication pressure detected. Recommended actions: increase Aadhaar authentication infrastructure, deploy additional servers, and optimize load distribution.",22.45027300911682,78.77790668650955,34645,High Risk,Deploy 34 kits.
Andhra Pradesh,Hyderabad,Medium Load,12333,0.1742479526473688,0.8257520473526312,"Adult population dominates biometric authentication, indicating strong dependency on DBT and banking services.",Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,17.385,78.4867,14458,Normal,Stable
Andhra Pradesh,K.V. Rangareddy,Medium Load,77,0.4935064935064935,0.5064935064935064,High biometric usage among children suggests dependency on education and child welfare schemes.,Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,21.524304383129692,78.64723223094694,82,Normal,Stable
Andhra Pradesh,K.V.Rangareddy,Medium Load,91,0.2857142857142857,0.7142857142857143,"Adult population dominates biometric authentication, indicating strong dependency on DBT and banking services.",Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,22.473615908047364,78.78065907190937,100,Normal,Stable
Andhra Pradesh,Kakinada,Low Load,1167,0.493573264781491,0.506426735218509,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,21.691514671467438,79.08219508571597,1310,Normal,Stable
Andhra Pradesh,Karim Nagar,Medium Load,249,0.2128514056224899,0.7871485943775101,"Adult population dominates biometric authentication, indicating strong dependency on DBT and banking services.",Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,21.942129878778488,79.47579789574259,284,Normal,Stable
Andhra Pradesh,Karimnagar,Medium Load,2358,0.2217981340118744,0.7782018659881256,"Adult population dominates biometric authentication, indicating strong dependency on DBT and banking services.",Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,22.139123574044476,78.86598892175455,2846,Normal,Stable
Andhra Pradesh,Khammam,Medium Load,4324,0.2789084181313598,0.7210915818686402,"Adult population dominates biometric authentication, indicating strong dependency on DBT and banking services.",Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,21.528520115523584,78.78405612225107,4712,Normal,Stable
Andhra Pradesh,Krishna,High Load,26706,0.6297461244664121,0.3702538755335879,High biometric usage among children suggests dependency on education and child welfare schemes.,"High biometric authentication pressure detected. Recommended actions: increase Aadhaar authentication infrastructure, deploy additional servers, and optimize load distribution.",21.6280111037897,79.00440988271951,30787,High Risk,Deploy 30 kits.
Andhra Pradesh,Kurnool,High Load,38359,0.7232722438019761,0.2767277561980239,High biometric usage among children suggests dependency on education and child welfare schemes.,"High biometric authentication pressure detected. Recommended actions: increase Aadhaar authentication infrastructure, deploy additional servers, and optimize load distribution.",21.784657904342478,79.48502518052719,44821,High Risk,Deploy 44 kits.
Andhra Pradesh,Mahabub Nagar,Medium Load,734,0.103542234332425,0.896457765667575,"Adult population dominates biometric authentication, indicating strong dependency on DBT and banking services.",Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,22.488481738038008,78.93046099152208,777,Normal,Stable
Andhra Pradesh,Mahabubnagar,Low Load,42,0.2142857142857142,0.7857142857142857,"Adult population dominates biometric authentication, indicating strong dependency on DBT and banking services.",Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,22.381543311040964,79.13420519388126,49,Normal,Stable
Andhra Pradesh,Mahbubnagar,Medium Load,1572,0.1844783715012722,0.8155216284987278,"Adult population dominates biometric authentication, indicating strong dependency on DBT and banking services.",Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,22.35230203879123,79.12384475029953,1704,Normal,Stable
Andhra Pradesh,Medak,Medium Load,2642,0.220666161998486,0.779333838001514,"Adult population dominates biometric authentication, indicating strong dependency on DBT and banking services.",Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,22.022450916982006,79.05152137237143,2808,Normal,Stable
Andhra Pradesh,N. T. R,Low Load,1463,0.3636363636363636,0.6363636363636364,Balanced biometric usage across age groups.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,22.174187944134715,79.14937384322147,1813,Normal,Stable
Andhra Pradesh,Nalgonda,Medium Load,3282,0.1505179768433882,0.8494820231566118,"Adult population dominates biometric authentication, indicating strong dependency on DBT and banking services.",Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,22.448793599294305,78.72638717650646,4079,Normal,Stable
Andhra Pradesh,Nandyal,Medium Load,1384,0.5679190751445087,0.4320809248554913,High biometric usage among children suggests dependency on education and child welfare schemes.,Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,21.525989565104894,79.03930280629434,1676,Normal,Stable
Andhra Pradesh,Nellore,High Load,11666,0.4606548945654037,0.5393451054345962,High biometric usage among children suggests dependency on education and child welfare schemes.,"High biometric authentication pressure detected. Recommended actions: increase Aadhaar authentication infrastructure, deploy additional servers, and optimize load distribution.",22.111392888719255,78.71873518838434,12960,Normal,Stable
Andhra Pradesh,Nizamabad,Medium Load,1234,0.2658022690437601,0.7341977309562399,"Adult population dominates biometric authentication, indicating strong dependency on DBT and banking services.",Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,22.231987528369515,79.15660074329504,1319,Normal,Stable
Andhra Pradesh,Palnadu,Low Load,1306,0.5719754977029097,0.4280245022970903,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,21.82015017133218,79.00277305514236,1550,Normal,Stable
Andhra Pradesh,Parvathipuram Manyam,Low Load,1137,0.4678979771328056,0.5321020228671943,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,21.52535251307477,79.08707358740959,1293,Normal,Stable
Andhra Pradesh,Prakasam,High Load,19234,0.6234792554850785,0.3765207445149215,High biometric usage among children suggests dependency on education and child welfare schemes.,"High biometric authentication pressure detected. Recommended actions: increase Aadhaar authentication infrastructure, deploy additional servers, and optimize load distribution.",22.42537158428401,79.11269808912913,20665,High Risk,Deploy 20 kits.
Andhra Pradesh,Rangareddi,Medium Load,6925,0.1842599277978339,0.815740072202166,"Adult population dominates biometric authentication, indicating strong dependency on DBT and banking services.",Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,22.3077188324289,79.40609856054422,7957,Normal,Stable
Andhra Pradesh,Sri Potti Sriramulu Nellore,Medium Load,1451,0.5720192970365265,0.4279807029634734,High biometric usage among children suggests dependency on education and child welfare schemes.,Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,21.56025432257662,79.36754084141126,1533,Normal,Stable
Andhra Pradesh,Sri Sathya Sai,Medium Load,1711,0.5949736995908825,0.4050263004091174,High biometric usage among children suggests dependency on education and child welfare schemes.,Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,21.57970319803773,78.623941798444,2107,Normal,Stable
Andhra Pradesh,Srikakulam,High Load,29982,0.7665932893069175,0.2334067106930825,High biometric usage among children suggests dependency on education and child welfare schemes.,"High biometric authentication pressure detected. Recommended actions: increase Aadhaar authentication infrastructure, deploy additional servers, and optimize load distribution.",22.33089147317181,79.12385083974299,33032,High Risk,Deploy 33 kits.
Andhra Pradesh,Tirupati,Medium Load,1554,0.4948519948519948,0.5051480051480052,High biometric usage among children suggests dependency on education and child welfare schemes.,Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,21.626149139602436,79.44438168015294,1837,Normal,Stable
Andhra Pradesh,Visakhapatnam,High Load,36998,0.5906265203524514,0.4093734796475485,High biometric usage among children suggests dependency on education and child welfare schemes.,"High biometric authentication pressure detected. Recommended actions: increase Aadhaar authentication infrastructure, deploy additional servers, and optimize load distribution.",25.5941,85.1376,41154,High Risk,Deploy 41 kits.
Andhra Pradesh,Vizianagaram,High Load,18508,0.648476334558029,0.351523665441971,High biometric usage among children suggests dependency on education and child welfare schemes.,"High biometric authentication pressure detected. Recommended actions: increase Aadhaar authentication infrastructure, deploy additional servers, and optimize load distribution.",21.686475611501802,79.26322984860789,21358,High Risk,Deploy 21 kits.
Andhra Pradesh,Warangal,Medium Load,5595,0.233958891867739,0.7660411081322609,"Adult population dominates biometric authentication, indicating strong dependency on DBT and banking services.",Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,21.886450216615046,79.39075684662912,6486,Normal,Stable
Andhra Pradesh,West Godavari,High Load,25341,0.6182076476855688,0.3817923523144311,High biometric usage among children suggests dependency on education and child welfare schemes.,"High biometric authentication pressure detected. Recommended actions: increase Aadhaar authentication infrastructure, deploy additional servers, and optimize load distribution.",22.177440553172385,78.77226163451287,27544,High Risk,Deploy 27 kits.
Andhra Pradesh,Y. S. R,Medium Load,1051,0.5299714557564225,0.4700285442435775,High biometric usage among children suggests dependency on education and child welfare schemes.,Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,22.259732984616853,79.26077819609455,1307,Normal,Stable
Arunachal Pradesh,Anjaw,Low Load,134,0.4104477611940298,0.5895522388059702,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,21.609797162567784,79.28232607392057,161,Normal,Stable
Arunachal Pradesh,Changlang,Low Load,823,0.5880923450789793,0.4119076549210206,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,22.14712937682626,79.0323344711929,1018,Normal,Stable
Arunachal Pradesh,Dibang Valley,Low Load,57,0.2807017543859649,0.7192982456140351,"Adult population dominates biometric authentication, indicating strong dependency on DBT and banking services.",Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,22.30740967811681,79.19800114375784,70,Normal,Stable
Arunachal Pradesh,East Kameng,Low Load,459,0.4335511982570806,0.5664488017429193,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,21.807219214913673,78.61295802813825,536,Normal,Stable
Arunachal Pradesh,East Siang,Low Load,266,0.5075187969924813,0.4924812030075188,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,22.02676998802326,78.87817304202851,328,Normal,Stable
Arunachal Pradesh,Kamle,Low Load,25,0.4,0.6,Balanced biometric usage across age groups.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,22.10841814489291,79.43049769752504,26,Normal,Stable
Arunachal Pradesh,Kra Daadi,Low Load,197,0.3807106598984771,0.6192893401015228,Balanced biometric usage across age groups.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,22.34493188792841,78.95949448727941,214,Normal,Stable
Arunachal Pradesh,Kurung Kumey,Low Load,629,0.1478537360890302,0.8521462639109698,"Adult population dominates biometric authentication, indicating strong dependency on DBT and banking services.",Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,21.9785676418907,79.17378664315036,666,Normal,Stable
Arunachal Pradesh,Leparada,Low Load,1,1.0,0.0,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,21.869300726643697,78.99319463802667,1,Normal,Stable
Arunachal Pradesh,Lohit,Low Load,507,0.2426035502958579,0.757396449704142,"Adult population dominates biometric authentication, indicating strong dependency on DBT and banking services.",Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,21.750755005014515,78.79362299223547,571,Normal,Stable
Arunachal Pradesh,Longding,Low Load,290,0.506896551724138,0.493103448275862,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,21.829800837868408,79.01415420053102,320,Normal,Stable
Arunachal Pradesh,Lower Dibang Valley,Low Load,197,0.4060913705583756,0.5939086294416244,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,22.29689218167821,79.19775705618339,239,Normal,Stable
Arunachal Pradesh,Lower Siang,Low Load,39,0.6923076923076923,0.3076923076923077,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,21.69694517107657,79.06684072910153,43,Normal,Stable
Arunachal Pradesh,Lower Subansiri,Low Load,248,0.3911290322580645,0.6088709677419355,Balanced biometric usage across age groups.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,22.31886784136255,78.76597367611558,274,Normal,Stable
Arunachal Pradesh,Namsai,Low Load,487,0.4373716632443531,0.5626283367556468,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,21.598638849326882,79.47606171792211,564,Normal,Stable
Arunachal Pradesh,Pakke Kessang,Low Load,18,0.6666666666666666,0.3333333333333333,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,22.114567822315998,79.39883422888305,19,Normal,Stable
Arunachal Pradesh,Papum Pare,Low Load,1064,0.3261278195488721,0.6738721804511278,Balanced biometric usage across age groups.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,22.48344814046819,79.03343958224244,1287,Normal,Stable
Arunachal Pradesh,Shi-Yomi,Low Load,27,0.5555555555555556,0.4444444444444444,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,21.71854860000194,79.00601414589126,28,Normal,Stable
Arunachal Pradesh,Siang,Low Load,117,0.4615384615384615,0.5384615384615384,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,22.331337967055653,78.62680126080312,145,Normal,Stable
Arunachal Pradesh,Tawang,Low Load,198,0.6060606060606061,0.3939393939393939,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,21.80413601241846,79.39047826465931,238,Normal,Stable
Arunachal Pradesh,Tirap,Low Load,180,0.5611111111111111,0.4388888888888889,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,21.782174923642028,78.76617843616941,196,Normal,Stable
Arunachal Pradesh,Upper Siang,Low Load,127,0.4251968503937008,0.5748031496062992,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,21.54601867147211,79.3527410728449,133,Normal,Stable
Arunachal Pradesh,Upper Subansiri,Low Load,559,0.3881932021466905,0.6118067978533095,Balanced biometric usage across age groups.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,22.319082076776947,79.29872781826757,678,Normal,Stable
Arunachal Pradesh,West Kameng,Low Load,613,0.3066884176182708,0.6933115823817292,Balanced biometric usage across age groups.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,21.756819504945852,79.4093589310671,730,Normal,Stable
Arunachal Pradesh,West Siang,Low Load,389,0.5475578406169666,0.4524421593830334,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,21.984121335216294,79.25813944447589,465,Normal,Stable
Assam,Bajali,Low Load,9,0.2222222222222222,0.7777777777777778,"Adult population dominates biometric authentication, indicating strong dependency on DBT and banking services.",Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,21.90200638798308,79.24802181808776,10,Normal,Stable
Assam,Baksa,Low Load,1868,0.7178800856531049,0.2821199143468951,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,22.152808497220875,79.26887307357595,1989,Normal,Stable
Assam,Barpeta,Medium Load,10808,0.8098630643967432,0.1901369356032568,High biometric usage among children suggests dependency on education and child welfare schemes.,Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,21.608845634248667,79.34379860667929,12123,Normal,Stable
Assam,Biswanath,Low Load,846,0.6252955082742316,0.3747044917257683,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,22.20067224046126,79.1382633816398,907,Normal,Stable
Assam,Bongaigaon,Low Load,4185,0.7201911589008363,0.2798088410991636,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,21.762316325339803,78.87612376529694,5116,Normal,Stable
Assam,Cachar,Medium Load,4523,0.4903824894981207,0.5096175105018793,High biometric usage among children suggests dependency on education and child welfare schemes.,Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,22.47899137619113,78.93507229957656,5312,Normal,Stable
Assam,Charaideo,Low Load,621,0.6747181964573269,0.3252818035426731,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,22.211396958323302,79.09987752935459,693,Normal,Stable
Assam,Chirang,Low Load,2295,0.7032679738562092,0.2967320261437908,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,21.583214841545544,79.32773816532958,2438,Normal,Stable
Assam,Darrang,Low Load,1610,0.4142857142857143,0.5857142857142857,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,22.46879521807356,79.03463088766999,1790,Normal,Stable
Assam,Dhemaji,Low Load,2462,0.6592201462225833,0.3407798537774167,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,21.933417967536347,78.63124812569625,2745,Normal,Stable
Assam,Dhubri,Medium Load,8422,0.8032533839943007,0.1967466160056993,High biometric usage among children suggests dependency on education and child welfare schemes.,Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,22.288835849727686,79.29768197869481,10072,Normal,Stable
